162.159.198.1:443#麒麟优选 | 09-02 08:24 | BestCF.pages.dev
172.64.159.62:443#麒麟优选 | 电信 | 172.64.159.62 | 42.76ms | 73.98mb/s
172.64.154.42:443#麒麟优选 | 电信 | 172.64.154.42 | 43.74ms | 71.07mb/s
104.18.45.111:443#麒麟优选 | 电信 | 104.18.45.111 | 43.84ms | 69.74mb/s
104.18.36.18:443#麒麟优选 | 电信 | 104.18.36.18 | 43.59ms | 69.07mb/s
172.64.146.225:443#麒麟优选 | 电信 | 172.64.146.225 | 44.24ms | 68.88mb/s
172.64.145.178:443#麒麟优选 | 电信 | 172.64.145.178 | 42.35ms | 68.66mb/s
172.64.157.69:443#麒麟优选 | 电信 | 172.64.157.69 | 44.10ms | 66.94mb/s
104.18.38.144:443#麒麟优选 | 电信 | 104.18.38.144 | 43.95ms | 66.57mb/s
104.18.34.136:443#麒麟优选 | 电信 | 104.18.34.136 | 44.20ms | 65.73mb/s
172.64.153.182:443#麒麟优选 | 电信 | 172.64.153.182 | 43.71ms | 35.08mb/s
162.159.134.63:443#麒麟优选 | 联通 | 162.159.134.63 | 65.79ms | 54.28mb/s
172.67.69.139:443#麒麟优选 | 联通 | 172.67.69.139 | 65.51ms | 52.26mb/s
104.20.31.29:443#麒麟优选 | 联通 | 104.20.31.29 | 66.36ms | 51.74mb/s
104.20.18.161:443#麒麟优选 | 联通 | 104.20.18.161 | 66.40ms | 50.34mb/s
104.20.22.138:443#麒麟优选 | 联通 | 104.20.22.138 | 67.07ms | 49.78mb/s
162.159.148.169:443#麒麟优选 | 联通 | 162.159.148.169 | 63.17ms | 48.85mb/s
104.20.20.98:443#麒麟优选 | 联通 | 104.20.20.98 | 65.50ms | 48.72mb/s
104.26.13.153:443#麒麟优选 | 联通 | 104.26.13.153 | 65.43ms | 47.02mb/s
104.26.2.228:443#麒麟优选 | 联通 | 104.26.2.228 | 63.94ms | 41.76mb/s
172.67.73.156:443#麒麟优选 | 联通 | 172.67.73.156 | 65.48ms | 41.57mb/s
104.17.189.116:443#麒麟优选 | 移动 | 104.17.189.116 | 50.38ms | 0.38mb/s
104.17.209.122:443#麒麟优选 | 移动 | 104.17.209.122 | 50.69ms | 0.36mb/s
104.19.148.30:443#麒麟优选 | 移动 | 104.19.148.30 | 51.14ms | 0.32mb/s
104.17.118.137:443#麒麟优选 | 移动 | 104.17.118.137 | 50.01ms | 0.31mb/s
104.17.190.154:443#麒麟优选 | 移动 | 104.17.190.154 | 49.68ms | 0.28mb/s
104.17.147.216:443#麒麟优选 | 移动 | 104.17.147.216 | 50.55ms | 0.27mb/s
104.17.167.70:443#麒麟优选 | 移动 | 104.17.167.70 | 50.36ms | 0.26mb/s
104.19.159.3:443#麒麟优选 | 移动 | 104.19.159.3 | 50.47ms | 0.22mb/s
104.17.123.31:443#麒麟优选 | 移动 | 104.17.123.31 | 49.01ms | 0.17mb/s
104.19.60.3:443#麒麟优选 | 移动 | 104.19.60.3 | 51.10ms | 0.16mb/s
172.64.159.49:443#麒麟优选 | 多线 | 172.64.159.49 | 71.22ms | 14.31mb/s
104.18.41.34:443#麒麟优选 | 多线 | 104.18.41.34 | 68.39ms | 14.28mb/s
104.18.34.117:443#麒麟优选 | 多线 | 104.18.34.117 | 71.57ms | 14.16mb/s
172.64.229.238:443#麒麟优选 | 多线 | 172.64.229.238 | 36.49ms | 13.97mb/s
104.18.44.193:443#麒麟优选 | 多线 | 104.18.44.193 | 70.70ms | 13.82mb/s
172.64.153.3:443#麒麟优选 | 多线 | 172.64.153.3 | 70.85ms | 7.73mb/s
104.18.46.20:443#麒麟优选 | 多线 | 104.18.46.20 | 68.59ms | 3.20mb/s
104.18.32.136:443#麒麟优选 | 多线 | 104.18.32.136 | 70.85ms | 0.14mb/s
104.18.37.85:443#麒麟优选 | 多线 | 104.18.37.85 | 69.26ms | 0.13mb/s
104.18.38.226:443#麒麟优选 | 多线 | 104.18.38.226 | 68.28ms | 0.13mb/s
162.159.197.1:443#麒麟优选 | 分享免费优选网 BestCF.pages.dev
